study,group,tissue,gene1,gene2,is_marker
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,ARF1,4,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,ARPC5,4,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,BTG2,3,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,CALM2,3,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,CD2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,CD247,3,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,CD48,4,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,CD52,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,CD55,4,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,CD8A,4,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,CDC42,4,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,CSDE1,4,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,CTSS,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,DUSP2,2,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,FCER1G,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,FCGR3A,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,FCMR,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,G0S2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,GBP2,3,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,H3F3A,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,IFI6,3,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,ISG15,3,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,LAPTM5,2,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,LMNA,4,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,MCL1,4,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,MGAT4A,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,NBPF26,2,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,NCF2,3,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,NDUFS5,3,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,NLRP3,2,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,NUCKS1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,OST4,3,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,PDE4DIP,5,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,PELI1,3,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,PLEK,2,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,PRRC2C,3,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,PTGS2,3,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,PTPRC,4,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,REL,2,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,RGS1,3,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,RNF19B,2,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,RPL11,2,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,RPL22,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,RPL31,2,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,RPL5,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,RPS27,2,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,RPS27A,2,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,RPS7,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,RPS8,2,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,S100A10,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,S100A11,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,S100A12,3,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,S100A4,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,S100A6,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,S100A8,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,S1PR1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,SELL,3,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,SERBP1,4,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,SFPQ,3,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,SH3BGRL3,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,SRRM1,2,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,SRSF7,3,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,SSR2,3,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,TAGLN2,2,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,TOMM20,3,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,TPM3,4,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,TXNIP,3,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,UQCRH,3,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,YBX1,3,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,YPEL5,3,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,ZC3H12A,3,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,ZFP36L2,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,ARF1,3,no
